,timestamp,gender,age,language,EQ_score_raw,SQ_score_raw,EQ_score_std,SQ_score_std,D_score,E_score_raw,A_score_raw,E_score_std,A_score_std,EA_score,covid_1,covid_2,covid_3,covid_4,covid_5,covid_6,covid_7,covid_8,covid_9,covid_10,covid_11,covid_12,covid_13,covid_14,covid_15
35,2020/05/04 1:58:53 pm GMT+8,M,31,English,3.0,5.0,-0.093006993006993,-0.11293706293706292,0.01993006993006992,8.25,4.25,1.2077935004849054,0.27621961827291885,0.9315738822119866,2.0,1.0,2.0,1.0,10+,4.0,4.0,Yes,Yes,Yes,No,Yes,No,4.0,4.0
36,2020/05/04 4:28:55 pm GMT+8,F,21,English,5.0,11.0,0.006993006993007001,0.18706293706293708,-0.18006993006993008,7.75,7.75,0.98359015566668,1.822387310283487,-0.8387971546168072,2.0,1.0,1.0,1.0,1-2,4.0,5.0,No,Yes,Yes,Yes,Yes,No,1.0,1.0
37,2020/05/04 5:04:59 pm GMT+8,M,15,English,4.0,10.0,-0.043006993006993,0.1370629370629371,-0.1800699300699301,6.75,3.5,0.5351834660302288,-0.055102030015060095,0.5902854960452889,0.0,4.0,1.0,1.0,0,1.0,5.0,Yes,No,Yes,No,Yes,No,4.0,4.0
38,2020/05/04 5:34:16 pm GMT+8,M,25,English,1.0,7.0,-0.193006993006993,-0.012937062937062916,-0.18006993006993008,7.75,3.0,0.98359015566668,-0.27598312887371274,1.2595732845403926,2.0,3.0,2.0,2.0,1-2,2.0,5.0,No,No,No,No,Yes,No,2.0,3.0
39,2020/05/04 6:14:56 pm GMT+8,M,23,English,7.0,4.0,0.106993006993007,-0.16293706293706292,0.2699300699300699,4.75,4.0,-0.3616299132426734,0.16577906884359253,-0.527408982086266,1.0,1.0,3.0,1.0,1-2,2.0,5.0,Yes,Yes,Yes,No,Yes,No,2.0,3.0
40,2020/05/04 6:35:35 pm GMT+8,F,58,English,3.0,3.0,-0.093006993006993,-0.2129370629370629,0.11993006993006991,6.0,7.25,0.1988784488028905,1.6015062114248346,-1.402627762621944,1.0,3.0,2.0,1.0,10+,2.0,4.0,Yes,Yes,Yes,No,Yes,Yes,2.0,3.0
41,2020/05/04 7:20:57 pm GMT+8,F,23,English,4.0,6.0,-0.043006993006993,-0.06293706293706292,0.01993006993006992,5.25,7.0,-0.13742656842444784,1.4910656619955083,-1.628492230419956,2.0,1.0,3.0,1.0,0,4.0,5.0,No,Yes,Yes,No,Yes,No,1.0,2.0
42,2020/05/04 7:40:38 pm GMT+8,F,44,English,3.0,10.0,-0.093006993006993,0.1370629370629371,-0.2300699300699301,4.25,1.5,-0.5858332580608989,-0.9386264254496706,0.35279316738877164,1.0,1.0,1.0,1.0,0,3.0,3.0,No,Yes,Yes,No,Yes,No,1.0,2.0
43,2020/05/04 8:26:01 pm GMT+8,M,21,English,6.0,9.0,0.056993006993007,0.08706293706293708,-0.030069930069930077,6.75,3.5,0.5351834660302288,-0.055102030015060095,0.5902854960452889,1.0,2.0,1.0,1.0,0,1.0,3.0,Yes,Yes,Yes,No,Yes,Yes,2.0,3.0
44,2020/05/04 9:20:02 pm GMT+8,M,24,English,4.0,9.0,-0.043006993006993,0.08706293706293708,-0.13006993006993006,5.25,4.75,-0.13742656842444784,0.49710071713157145,-0.6345272855560193,1.0,1.0,3.0,1.0,1-2,1.0,4.0,No,No,Yes,No,No,No,1.0,3.0
45,2020/05/04 9:39:08 pm GMT+8,M,47,English,3.0,4.0,-0.093006993006993,-0.16293706293706292,0.06993006993006992,6.25,3.25,0.31098012121200325,-0.1655425794443864,0.4765227006563897,2.0,1.0,2.0,1.0,3-5,1.0,4.0,Yes,Yes,Yes,No,Yes,No,2.0,4.0
46,2020/05/05 12:25:08 am GMT+8,F,24,English,3.0,6.0,-0.093006993006993,-0.06293706293706292,-0.030069930069930084,5.0,0.25,-0.24952824083356062,-1.490829172596302,1.2413009317627415,2.0,1.0,1.0,1.0,0,1.0,1.0,No,No,No,Yes,Yes,No,1.0,1.0
